,Date,CPI,Inflation Rate
351,1976-04-01,56.1,5.849056603773595
352,1976-05-01,56.4,6.214689265536721
353,1976-06-01,56.7,5.981308411214958
354,1976-07-01,57.0,5.555555555555558
355,1976-08-01,57.3,5.719557195571956
356,1976-09-01,57.6,5.494505494505497
357,1976-10-01,57.9,5.464480874316946
358,1976-11-01,58.1,5.063291139240511
359,1976-12-01,58.4,5.035971223021574
360,1977-01-01,58.7,5.197132616487465
361,1977-02-01,59.3,6.082289803220031
362,1977-03-01,59.6,6.428571428571428
363,1977-04-01,60.0,6.951871657754016
364,1977-05-01,60.2,6.737588652482285
365,1977-06-01,60.5,6.701940035273357
366,1977-07-01,60.8,6.666666666666665
367,1977-08-01,61.1,6.631762652705064
368,1977-09-01,61.3,6.423611111111094
369,1977-10-01,61.6,6.390328151986191
370,1977-11-01,62.0,6.712564543889843
371,1977-12-01,62.3,6.67808219178081
372,1978-01-01,62.7,6.814310051107331
373,1978-02-01,63.0,6.2394603709949426
374,1978-03-01,63.4,6.375838926174482
375,1978-04-01,63.9,6.499999999999995
376,1978-05-01,64.5,7.14285714285714
377,1978-06-01,65.0,7.438016528925617
378,1978-07-01,65.5,7.7302631578947345
379,1978-08-01,65.9,7.855973813420625
380,1978-09-01,66.5,8.482871125611746
381,1978-10-01,67.1,8.92857142857142
382,1978-11-01,67.5,8.870967741935477
383,1978-12-01,67.9,8.988764044943842
384,1979-01-01,68.5,9.250398724082931
385,1979-02-01,69.2,9.84126984126985
386,1979-03-01,69.9,10.252365930599371
387,1979-04-01,70.6,10.485133020344284
388,1979-05-01,71.4,10.697674418604652
389,1979-06-01,72.2,11.076923076923073
390,1979-07-01,73.0,11.45038167938932
391,1979-08-01,73.7,11.836115326251884
392,1979-09-01,74.4,11.879699248120312
393,1979-10-01,75.2,12.071535022354718
394,1979-11-01,76.0,12.592592592592599
395,1979-12-01,76.9,13.254786450662737
396,1980-01-01,78.0,13.868613138686126
397,1980-02-01,79.0,14.161849710982644
398,1980-03-01,80.1,14.592274678111572
399,1980-04-01,80.9,14.589235127478762
400,1980-05-01,81.7,14.425770308123242
401,1980-06-01,82.5,14.265927977839322
402,1980-07-01,82.6,13.15068493150684
